item_id,detail_file,annotator1_labels,annotator2_labels,final_labels
g0003,items/g0003.md,GE1.1,AE2.1,
g0004,items/g0004.md,AE1.1;AE1.2,AE1.1,
g0005,items/g0005.md,AE6.4;GE1.2,GE1.2,
g0008,items/g0008.md,AE1.1;GE6.1,GE1.1;GE6.1,
g0011,items/g0011.md,GE4.1;GE5.1,GE4.2,
g0015,items/g0015.md,GE1.1,AE2.2,
g0020,items/g0020.md,GE1.1,AE1.1,
g0026,items/g0026.md,GE5.1,GE4.2;GE5.1,
g0027,items/g0027.md,AE1.1,AE1.1;GE6.1,
g0034,items/g0034.md,UNCOVERED,AE6.4,
g0036,items/g0036.md,AE1.1;AE1.2,AE1.1,
g0040,items/g0040.md,GE3.1,GE5.1,
g0041,items/g0041.md,GE4.2,GE1.1;GE4.2,
g0046,items/g0046.md,UNCOVERED,AE1.2,
g0049,items/g0049.md,AE1.1;GE4.2,GE4.2,
g0050,items/g0050.md,GE3.1;GE4.2,GE3.1,
g0051,items/g0051.md,GE1.1,GE1.2,
g0055,items/g0055.md,GE4.2,GE1.1,
g0057,items/g0057.md,GE4.1,GE1.1,
g0059,items/g0059.md,GE5.1,GE1.1,
g0069,items/g0069.md,GE4.1,GE1.2,
g0070,items/g0070.md,GE1.1,GE4.2,
g0071,items/g0071.md,GE1.1,GE1.2,
g0082,items/g0082.md,GE1.1,AE2.1,
g0083,items/g0083.md,GE1.1,AE2.1,
g0087,items/g0087.md,AE1.1,GE1.1,
g0089,items/g0089.md,AE1.1;GE2.2,AE1.1,
g0090,items/g0090.md,GE1.1,GE1.2,
g0092,items/g0092.md,AE2.1,AE1.1,
g0093,items/g0093.md,GE1.1,GE5.1,
g0095,items/g0095.md,GE1.1,AE1.2,
g0104,items/g0104.md,AE3.2,AE3.1,
g0109,items/g0109.md,GE1.1,AE2.1,
g0113,items/g0113.md,AE3.2,AE3.1,
g0114,items/g0114.md,AE1.1,GE1.2,
g0115,items/g0115.md,GE4.1,GE1.1,
g0116,items/g0116.md,GE1.1,AE2.1,
g0117,items/g0117.md,GE1.1,GE1.2,
g0120,items/g0120.md,GE1.2,AE1.1,
g0122,items/g0122.md,AE3.2,GE1.1,
g0123,items/g0123.md,GE1.1,GE1.2,
g0124,items/g0124.md,GE3.2,GE1.2,
g0128,items/g0128.md,AE1.1,AE1.2,
g0131,items/g0131.md,GE1.1,AE2.1,
g0134,items/g0134.md,GE4.2,GE1.1,
g0136,items/g0136.md,GE4.2,GE4.1,
g0137,items/g0137.md,UNCOVERED,GE1.2,
g0138,items/g0138.md,GE1.1,GE1.2,
g0141,items/g0141.md,GE1.1,AE1.1,
g0146,items/g0146.md,GE1.1,AE1.1,
g0147,items/g0147.md,AE1.2,AE1.1,
g0148,items/g0148.md,GE4.1,GE5.1,
g0150,items/g0150.md,AE1.1,GE1.2,
g0163,items/g0163.md,AE6.2,AE6.1,
g0164,items/g0164.md,GE5.1,GE4.1,
g0168,items/g0168.md,AE1.2,GE1.1,
g0171,items/g0171.md,GE1.1,AE1.1,
g0178,items/g0178.md,AE1.1,AE3.2,
g0182,items/g0182.md,GE3.1,GE1.2,
g0183,items/g0183.md,GE3.1,GE1.2,
g0184,items/g0184.md,GE3.1,GE1.2,
g0185,items/g0185.md,AE1.1,GE1.2,
g0188,items/g0188.md,AE3.1,GE1.1,
g0189,items/g0189.md,GE5.1,GE1.2,
g0190,items/g0190.md,GE5.1,GE4.1,
g0198,items/g0198.md,AE1.1,GE1.2,
g0202,items/g0202.md,AE1.1,GE1.1,
g0213,items/g0213.md,GE1.1,GE1.2,
g0215,items/g0215.md,AE1.1,GE5.1,
g0219,items/g0219.md,UNCOVERED,GE1.2,
g0222,items/g0222.md,GE4.2,GE1.2,
g0232,items/g0232.md,GE4.2,AE3.2,
g0234,items/g0234.md,GE5.1,GE1.2,
g0243,items/g0243.md,GE4.1,GE5.1,
g0250,items/g0250.md,GE1.1,GE1.2,
g0255,items/g0255.md,GE5.1,GE3.2,
g0265,items/g0265.md,AE1.1,AE3.2,
g0266,items/g0266.md,GE1.1,GE5.1,
g0267,items/g0267.md,GE2.2,GE2.1,
g0278,items/g0278.md,GE2.2,GE2.1,
g0280,items/g0280.md,AE1.2,AE1.1,
g0281,items/g0281.md,GE1.1,GE1.2,
g0282,items/g0282.md,GE1.1,GE1.2,
g0287,items/g0287.md,GE4.1,UNCOVERED,
g0291,items/g0291.md,GE1.1,GE1.2,
g0293,items/g0293.md,AE1.1,GE1.2,
g0296,items/g0296.md,GE4.1,UNCOVERED,
g0297,items/g0297.md,GE5.1,GE1.1,
g0299,items/g0299.md,GE5.2,GE2.2,
g0300,items/g0300.md,GE1.1,GE1.2,
g0309,items/g0309.md,GE1.1,AE2.1,
g0314,items/g0314.md,GE1.1,AE3.2,
g0317,items/g0317.md,GE4.1,GE5.1,
g0319,items/g0319.md,GE1.1,AE4.2,
g0329,items/g0329.md,GE1.1,GE1.2,
g0330,items/g0330.md,AE1.2,GE1.1,
g0339,items/g0339.md,AE3.1;AE3.2,AE3.2,
g0340,items/g0340.md,AE1.1,AE4.2,
g0341,items/g0341.md,GE4.1,GE4.2,
g0342,items/g0342.md,GE1.1,GE4.2,
g0345,items/g0345.md,GE1.1,GE1.3,
