problem_id,item_id,verdict,labels,rationale
1575B,411c75ac10,WA,GE1.2,"Fixes the circle center at the origin, misreading ""touch the origin"" as ""centered at the origin"" rather than allowing any center at distance r from the origin."
1575B,83a00ad507,CE,GE5.1,Compilation fails: error: redeclaration of 'const double PI'
1575B,2d9a8527fc,CE,GE5.1,Compilation fails: error: 'int y1' redeclared as different kind of entity
1575C,e4e1e4034c,WA,AE1.1,Counts cyclic segments with the wrong prefix-remainder formula; it does not pair equal residues correctly.
1575C,56d5dbba87,TLE,GE1.3,The chosen approach is too expensive for the full constraints.
1575C,5601e4e9bf,WA,AE1.1,Uses an incorrect combinatorial/remainder-counting formula for cyclic segments.
1575C,9dcf937c41,WA,AE1.1,Uses an incorrect combinatorial/remainder-counting formula for cyclic segments.
1575C,e593127744,TLE,GE1.3,The chosen approach is too expensive for the full constraints.
1575C,97f0fadb98,CE,GE5.1,Compilation fails: error: redeclaration of 'long long int N'
1575C,7135755e51,TLE,GE1.3,The chosen approach is too expensive for the full constraints.
1575C,dd0957aa4b,WA,AE1.1,Uses an incorrect combinatorial/remainder-counting formula for cyclic segments.
1575D,2a61a0e58f,CE,GE5.1,Compilation fails: error: 'next_permutation' was not declared in this scope
1575D,363080885e,WA,AE1.1,"Hard-codes the endings divisible by 25 with the wrong counting formula for ""_"" and shared ""X"" digits, so the number of valid fillings is miscounted."
1575D,6ecfc8864a,WA,GE3.1,"A branch condition checks `a[len - 1] == 7` instead of the character `'7'`, so valid cases for endings like 75 follow the wrong branch."
1575D,7a42372a34,TLE,GE1.3,The chosen approach is too expensive for the full constraints.
1575E,0f538307ca,WA,GE1.1,The chosen algorithmic strategy is incorrect for the task.
1575E,83b6c367ee,WA,GE1.1,The chosen algorithmic strategy is incorrect for the task.
1575E,2445805fb9,CE,GE5.1,"Compilation fails: error: no match for call to '(std::function<void(int, int, int, int, long long int)>) (std::tuple_element<0, std::pair<int, int> >::type&, int&, int&, std::tuple_element<1, std::pair<int, int> >::type&, int&, long long int)'"
1575G,9dd54ef466,WA,AE1.2,"Its divisor/phi preprocessing is broken: `phi[i]` is only built for `i <= sqrt(N)`, so later totient-based GCD counting uses uninitialized values for larger divisors."
1575G,2c64dfd2db,WA,AE1.1,Replaces the required double-GCD sum with an invalid divisor-counting formula.
1575G,0f34a59fc9,WA,AE1.2,"After reversing the divisor list, its inclusion-exclusion loop still stops at `m <= v.back()`, so multiples of `x` are never subtracted correctly in the divisor-count DP."
1575H,2fb4ad3864,WA,GE1.2,"Treats k as a window offset and only computes minimum mismatches for one placement of `b`, instead of the minimum edits for exactly k total occurrences in `a`."
1575I,4bce9efa97,RE,GE3.1,Traversal/control-state handling causes a runtime failure.
1575K,9f05d5e5ed,WA,AE1.1,Uses an invalid counting formula for the equality constraints between the two rectangles instead of counting connected components of forced-equal cells.
1575K,717756c961,TLE,GE1.3,"Builds the constraint structure explicitly over rectangle cells, which is far too expensive for r,c up to 10^6 and leads to TLE."
1575L,aa2573940a,WA,AE5.1,"The DP formulation does not correctly capture how deleting unmatched elements shifts later indices, so the state space is wrong."
1575L,7c367bcd60,WA,AE5.2,"Reduces the problem to an LIS-style DP with incorrect ordering/tie handling, so it allows invalid transitions between candidates."
1579B,d517076fe7,WA,GE6.2,"Simulates moving the chosen element to the end by a one-step left rotation, but outputs offset i-id instead, so the printed operations do not match the intended transformations."
1579B,f620ea70be,CE,GE5.1,Compilation fails: error: 'rotate' was not declared in this scope
1579C,511f667ff9,WA,GE1.2,"Checks whether every `*` cell can itself be the center of a tick of size at least k, but the task asks whether the `*` cells can be covered by some union of ticks."
1579C,9d684335ff,WA,GE1.2,"Validates each star as a standalone full tick, instead of reconstructing whether the whole picture is obtainable as a union of ticks of size at least k."
1579C,260cd223d2,WA,GE1.2,"Removes stars only when they match ticks rooted at that same cell, which solves a different coverage condition than the statement's union-of-ticks construction."
1579D,e279075216,RE,"AE1.1,GE2.1","Uses the wrong maximum-talk bound `sum/2` even when one person dominates, then pops two participants from the heap after fewer than two nonzero people remain."
