item_id,problem_id,model,idx,cf_rating,tags,verdict,first_fail_kind,original_labels,root_labels,root_rationale
0a213dce08,1619B,human,79,800,"implementation,math",WA,private,"GE1.3,AE1.1",AE1.1,The counting formula treats 1 inconsistently: for n>1 it only adds 1 back when more than one other liked number was inserted. For n=7 this omits the square/cube 1 and counts only 4.
f550873c91,1594A,human,61,800,math,WA,public,"AE1.1,GE4.1",GE4.1,"The solution reads n into int even though the input allows values up to 1e18. The large sample overflows, producing endpoints that no longer sum to the requested n."
742d6d58cc,1613E,human,23,2000,"dfs and similar,graphs",WA,private,GE3.1,AE3.2,"The traversal marks neighboring cells as seen even when they are not yet accepted into the fill. Those cells are never reconsidered after adjacent cells become reachable, so the corridor remains unfilled."
bafeb85c8c,1598C,human,11,1200,"data structures,dp,implementation,math,two pointers",WA,public,GE6.2,GE6.2,The answer computation is accompanied by diagnostic frequency lines before the required single answer. Those extra lines violate the output contract.
bf1d2f4811,1617C,human,11,1300,"binary search,greedy,math,sortings",WA,private,GE4.1,GE3.1,"The duplicate classification condition treats every value within 1..n as already usable, even when it is a duplicate. That prevents duplicate in-range values such as repeated 5s from entering the replacement pool."
cc42606f7b,1598G,human,61,3200,"hashing,math,string suffix structures,strings",WA,private,GE4.1,AE1.1,"The decimal-sum split logic omits the carry case where two adjacent addends are both shorter than x but sum to an m-digit value. The failing input has such a valid split, so the program prints nothing."
70c01712a5,1608A,human,59,800,"constructive algorithms,math",WA,public,GE6.1,GE1.2,"The construction starts the increasing sequence at 1, but any following positive integer is divisible by 1. This misunderstands the no-adjacent-divisibility requirement for all n greater than 1."
3418662bc6,1601B,human,19,1900,"data structures,dfs and similar,dp,graphs,shortest paths,two pointers",WA,private,GE6.1,GE1.1,"The first failing output appears to be another valid minimum path, so the concrete defect is ambiguous. The best-supported concern is the custom segment-graph shortest-path/reconstruction design rather than an output-format violation."
70cd59e62c,1623D,human,28,2300,"implementation,math,probabilities",WA,private,GE4.1,AE1.1,The expected-time formula for the robot cleaner is derived incorrectly over the movement cycle. Several cases with the same input contract produce wrong modular expectations.
5123b5e7d0,1623D,human,46,2300,"implementation,math,probabilities",WA,private,GE6.1,AE1.1,"The modular expectation recurrence mishandles the timing/probability cycle, including the initial and repeated cleaning opportunities. The failing outputs are off even though parsing is correct."
0a3b1e7c10,1575D,human,43,1800,"brute force,dfs and similar,dp",WA,public,GE4.1,GE2.1,The counting logic does not enforce the no-leading-zero boundary for multi-digit assignments. It counts strings such as 0_25 even though every completion has a leading zero.
9acf987ea6,1613A,human,32,900,"implementation,math",WA,private,"GE4.1,GE4.2",GE6.2,"Some branches print a comparison character without a trailing newline. Correct comparison results are concatenated across test cases, violating the required one-result-per-line output format."
9b899fcde1,1615E,human,48,2400,"data structures,dfs and similar,games,graphs,greedy,math,sortings,trees",WA,private,GE6.1,AE2.1,The tree game is reduced to a local deepest-path or subtree score heuristic instead of optimal Red/Blue play. On the small tree it produces a score larger than the true minimax value.
93f9d1c1c5,1586H,human,9,3300,"data structures,dsu,sortings,trees",WA,private,GE2.1,GE2.1,The query logic misses the boundary case where the starting city is already the unique optimal city. It returns a positive toll where staying put should cost 0.
e9c9ebb4e6,1600E,human,66,1900,"games,greedy,two pointers",WA,private,AE2.1,AE2.1,The game solver uses a local parity heuristic on end runs instead of optimal endpoint choices. For a two-element increasing array it predicts Bob even though Alice can win immediately.
2f27ec84ff,1618G,human,8,2200,"data structures,dsu,greedy,sortings",WA,public,AE2.1,GE3.1,The offline query loop confuses the query value k with the original query index when advancing events and storing answers. This faulty control condition skips or writes answers in the wrong places.
609b1d369e,1575H,human,48,2200,"dp,strings",WA,public,AE5.2,GE4.1,The DP value type is aliased to int while the code uses an INF constant around 1e18. Overflow in initialization propagates invalid negative costs.
e2ee3d8bd0,1599A,human,21,2600,"constructive algorithms,greedy,two pointers",WA,public,AE2.1,AE2.1,The balance construction chooses weights and sides by a local rule that does not maintain the required heavier side after each step. The sample output already violates the first required L state.
f295a61580,1608B,human,50,1200,"constructive algorithms,greedy",WA,public,AE2.1,GE2.2,"The constructive permutation fill advances one position too far in the a<b branch. This loop/index error reuses a value and skips another, creating a duplicate instead of a permutation."
67cc2eb710,1586E,human,16,2200,"constructive algorithms,dfs and similar,dsu,graph matchings,graphs,greedy,trees",WA,public,GE2.1,GE1.1,"The first failing sample paths appear valid and satisfy even edge parities, so the exact difference is ambiguous. The closest code-level concern is the custom tree/HLD path-construction design rather than formatting."
670989cf55,1613C,human,44,1200,binary search,WA,private,GE2.1,GE3.1,"After handling a large-h case, the code falls through into the general computation and appends another answer. The faulty branch control prints both the correct line and a spurious extra line."
2901a2ba24,1591A,human,32,800,implementation,WA,public,GE2.1,GE3.1,"The consecutive-zero state is reset after a single zero, so two unwatered days in a row are never detected. The flower incorrectly survives the 1 0 0 1 case."
1bbf6ace5d,1606E,human,3,2100,"combinatorics,dp,math",WA,private,AE1.1,AE1.1,"The combinatorial DP recurrence does not count the no-winner arena configurations described by the process. It gives a substantially wrong value for n=222,x=500."
3a7bda7a77,1613B,human,93,1000,"greedy,implementation,sortings",WA,public,AE2.1,AE2.1,"The first sample output differs despite appearing valid, so the evidence is partly ambiguous. The submitted code relies on a local adjacent-pair greedy search that is not the guaranteed construction."
ca55f41dc9,1582D,human,52,1600,"constructive algorithms,math",WA,public,AE1.1,AE1.1,"The displayed sample coefficients happen to satisfy the dot-product condition, making the first fail non-unique-output ambiguous. The submitted half-sum formula is nevertheless mathematically fragile and can produce zero or invalid coefficients."
e51b689efc,1599G,human,105,2700,"brute force,geometry,math,shortest paths",WA,private,AE1.1,AE1.1,The geometry formula undercounts the route by not correctly accounting for the detour through the off-line point relative to the line endpoints. The actual distance is shorter than any valid tour.
011b72a365,1582F2,human,82,2400,"binary search,brute force,dp,greedy,two pointers",WA,private,AE5.2,AE5.1,"The DP/search compresses the array to first and last occurrences of values, losing the ordering information needed for increasing subsequences. That state is too coarse and misses attainable XOR values."
d451117dce,1582F1,human,65,1800,"bitmasks,dp,greedy",WA,private,AE5.2,AE5.2,The DP transition only iterates and records XOR states up to 16. Reachable XOR values beyond that bound are skipped in the failing easy-version case.
b47c8a3052,1594C,human,73,1200,"brute force,greedy,math,strings",WA,public,GE1.1,GE1.1,"The sample operations shown by the rejected code appear valid, so the exact mismatch is ambiguous. The underlying odd/even-position heuristic is still an incorrect general algorithm for choosing minimum operations."
9c1d58ef67,1581B,human,150,1200,"constructive algorithms,graphs,greedy,math",WA,private,AE1.1,GE2.1,"The feasibility test mishandles the n=1,k=0 boundary and accepts a graph whose diameter 0 is not strictly less than k-1. This is a special input-boundary case."
e37d543a27,1606B,human,97,1100,"greedy,implementation,math",WA,private,AE1.1,AE1.1,The copy-time formula is derived incorrectly for very large n and k. The helper is effectively bounded around 1e9 and returns 2 hours where the doubling phase alone needs many more.
45561b937a,1620C,human,26,1800,"brute force,dp,greedy,implementation,math",WA,private,GE1.1,AE1.1,The BA-string rank reconstruction treats star groups and literal a-runs with the wrong mixed-radix formula. It places b counts at the wrong groups and produces the wrong kth string.
02e447d75c,1600F,human,12,2300,"brute force,math,probabilities",WA,public,GE1.1,GE1.1,"The first failing independent set appears valid, so the exact mismatch is ambiguous. The submitted randomized/incomplete search is the best-supported algorithmic concern rather than an output-format issue."
9df11182f4,1613A,human,13,900,"implementation,math",WA,private,GE1.2,GE1.2,"The comparison normalizes powers of ten but then compares only the shared prefix, ignoring remaining significant digits. It declares 1201 and 1200 equal."
5d5307de86,1615H,human,18,3000,"binary search,constructive algorithms,data structures,divide and conquer,flows,graphs,shortest paths",WA,public,GE1.1,GE1.1,The min-cut/divide-and-conquer strategy does not optimize the required cost under the ordering constraints. The sample output is feasible but has higher cost than the reference optimum.
3ac83788ed,1619C,human,22,1200,implementation,WA,public,GE4.1,AE1.1,"The digit-subtraction validation builds the borrow component by adding powers of ten directly instead of multiplying digits by place value. It rejects valid decompositions such as a=1,s=11."
f13d52294e,1598G,human,75,3200,"hashing,math,string suffix structures,strings",WA,private,GE4.1,AE1.1,The adjacent decimal-addition search has incomplete length and carry handling. It misses an existing split and prints no answer for the failing case.
d517076fe7,1579B,human,86,1100,"implementation,sortings",WA,public,GE6.2,GE2.2,"The rotation-sort loop searches for the next target across the whole array, including the already fixed suffix. That boundary error chooses rotations that no longer sort the array."
4bfb65a0eb,1601B,human,68,1900,"data structures,dfs and similar,dp,graphs,shortest paths,two pointers",WA,private,GE6.1,GE1.1,"The first failing path appears to be a valid alternative minimum path, so the concrete defect is ambiguous. The best-supported issue is the custom shortest-path reconstruction rather than formatting."
9539cddb85,1575B,human,30,2300,"binary search,geometry",WA,public,GE4.1,GE4.1,The angular binary search and approximations lose too much floating-point precision for the required tolerance. The sample radius is visibly outside the accepted error bound.
41979a8c56,1608A,gpt-3.5-turbo-0125,12,800,"constructive algorithms,math",WA,public,"GE1.2,GE4.1",GE1.2,"The generated powers of ten are increasing but each adjacent value is divisible by the previous one, with 1 as the first value. This misunderstands the required non-divisibility condition."
3ea8244491,1594C,gpt-3.5-turbo-0125,11,1200,"brute force,greedy,math,strings",WA,public,"GE6.2,GE1.2","GE1.2,GE6.2","The code treats positions already equal to c as operation indices, which misunderstands the operation semantics. It also prints a count plus many indices after declaring one operation, so the output list does not match the prescribed format."
61579af114,1598G,gpt-3.5-turbo-0125,4,3200,"hashing,math,string suffix structures,strings",WA,public,GE4.1,AE1.1,"The decimal-substring search uses an invalid rolling-number split formula and returns a substring pair whose numbers do not sum to x. The demonstrated failure is a wrong arithmetic decomposition, not merely large-number overflow."
6761575622,1608B,gpt-3.5-turbo-0125,9,1200,"constructive algorithms,greedy",WA,public,AE2.1,GE3.1,The feasibility condition incorrectly rejects cases unless a+b is almost n-1. Valid sample permutations are discarded because the boolean condition is too strict.
191b688f2e,1622A,gpt-3.5-turbo-0125,13,800,"geometry,math",WA,public,GE2.1,GE3.1,The rectangle test only checks whether one stick equals the sum of the other two. It misses valid cases where two equal sticks are paired and the remaining stick is split in half.
460a8ae223,1591E,gpt-3.5-turbo-0125,0,2400,"binary search,data structures,dfs and similar,trees,two pointers",WA,public,GE2.1,GE3.1,"The query code takes the answer from the wrong end of the sorted occurrence list, effectively choosing by decreasing rather than increasing frequency. This faulty selection condition reverses the required order."
6b91f5534c,1600E,gpt-3.5-turbo-0125,0,1900,"games,greedy,two pointers",WA,public,AE2.1,AE2.1,"The game solver greedily takes the smaller feasible endpoint, but optimal play can require a different endpoint to control parity and termination. It gives the wrong winner on the sample."
d282c600b6,1601D,gpt-3.5-turbo-0125,17,2700,"data structures,dp,greedy,sortings",WA,public,AE2.1,AE2.1,The alpinist solver counts currently feasible climbers with a local priority rule and updates difficulty in the wrong order. That greedy choice overcounts/undercounts reachable climbers.
5554036841,1579D,gpt-3.5-turbo-0125,1,1400,"constructive algorithms,graphs,greedy",WA,public,GE2.1,AE2.1,The meeting scheduler estimates talks by summing capacities against one fixed partner and emits far fewer pairs than the claimed count. This local construction does not model maximum pair scheduling.
5604e38ee7,1582D,gpt-3.5-turbo-0125,17,1600,"constructive algorithms,math",WA,public,AE1.1,AE1.1,The coefficient construction is arbitrary and does not ensure the weighted dot product is zero. The sample arrays produce nonzero sums.
a6ae9f4390,1606E,gpt-3.5-turbo-0125,6,2100,"combinatorics,dp,math",WA,public,AE1.1,AE1.1,The DP counts simple bounded compositions rather than the arena process that determines whether a unique winner exists. It returns zero for a case with many no-winner configurations.
8f02ab65bc,1622B,gpt-3.5-turbo-0125,10,1000,"data structures,greedy,math,sortings",WA,public,AE2.1,AE2.1,The rating reassignment sorts within liked and disliked groups using the old ratings but does not force all liked songs above all disliked songs. The first sample keeps an invalid order.
4880d69a1d,1607H,gpt-3.5-turbo-0125,1,2200,"greedy,sortings,two pointers",WA,public,AE2.1,GE1.2,The program minimizes the number of individually changed dishes instead of the number of distinct resulting dishes. It therefore misses the global variety objective.
f916c921e2,1580C,gpt-3.5-turbo-0125,11,2200,"brute force,data structures,implementation",WA,public,GE2.2,GE1.1,The train-maintenance model never advances each active train through its work/maintenance cycle by day. It only checks a stored y value and cannot count maintenance after elapsed time.
66017f6300,1575D,gpt-3.5-turbo-0125,10,1800,"brute force,dfs and similar,dp",WA,public,AE5.2,GE1.2,The placeholder handling permutes the pattern characters and removes underscores instead of assigning digits to each placeholder with a shared X digit. It cannot count assignments such as _XX.
336a777896,1619C,gpt-3.5-turbo-0125,10,1200,implementation,WA,public,GE1.2,GE1.2,"The code solves ordinary carry addition with a guessed leading b, not Tanya's digitwise concatenation subtraction. It prints -1 for valid sample decompositions."
86ecb2f630,1582E,gpt-3.5-turbo-0125,5,2000,"binary search,data structures,dp,greedy,math",WA,public,AE5.1,AE5.1,The DP state is just increasing prefix sums and does not encode segment length or non-overlap constraints. That state cannot represent the required chain of segments.
87dbea4311,1615E,gpt-3.5-turbo-0125,2,2400,"data structures,dfs and similar,games,graphs,greedy,math,sortings,trees",WA,public,AE1.1,AE1.1,The tree-game score is computed from subtree counts using a formula unrelated to optimal Red and Blue choices. The sample score is far too large.
b1114616c2,1601E,gpt-3.5-turbo-0125,17,2900,"data structures,dp,greedy",WA,public,AE5.2,GE1.1,"The ticket-query answer is an ad hoc prefix-sum expression and does not model ticket validity, activation timing, or future cheaper tickets. It produces much larger costs than optimal."
6f885a8f2a,1581B,gpt-3.5-turbo-0125,14,1200,"constructive algorithms,graphs,greedy,math",WA,public,AE1.1,AE1.1,The simple-graph edge bound is derived incorrectly as (n-1)(n-2)/2 instead of n(n-1)/2. This rejects feasible complete graphs.
fd6ec31796,1620E,gpt-3.5-turbo-0125,4,1900,"constructive algorithms,data structures,dsu,implementation",WA,public,GE1.1,GE1.1,"Replacement operations are time-dependent, but the code stores only a final direct replacement map and applies it to all inserted values. Values inserted after an earlier replacement are incorrectly changed."
ffa8f1202b,1620B,gpt-3.5-turbo-0125,3,1000,"geometry,greedy,math",WA,public,AE1.1,GE6.1,"The input contains four side point lists, but the program reads only two and then treats subsequent side data as later test cases. The stream is parsed contrary to the statement."
8243515595,1618F,gpt-3.5-turbo-0125,8,2000,"bitmasks,constructive algorithms,dfs and similar,implementation,math,strings",WA,public,GE1.1,GE1.1,"The binary reachability operation is reduced to halving or incrementing y, which is not equivalent to appending bits and reversing. It accepts transformations the sample says are impossible."
4d03cff6de,1606A,gpt-3.5-turbo-0125,7,900,strings,WA,public,GE1.2,GE3.1,"The code modifies the string whenever both AB and BA occur, instead of checking whether their counts are already equal. It changes an already valid sample string."
5c19aec84c,1582G,gpt-3.5-turbo-0125,3,2600,"data structures,number theory",WA,public,GE1.1,AE1.2,"The divisibility problem requires exact number-theoretic handling, but the solution uses floating products and hash counts. This loses the prime-factor/gcd structure needed to identify valid segments."
c58dd71aca,1608B,gpt-3.5-turbo-0125,2,1200,"constructive algorithms,greedy",WA,public,AE2.1,GE3.1,"The feasibility condition for peak/valley permutations is overly strict, so valid sample cases are rejected. The local boolean test is the demonstrated failure."
a7409acac8,1591A,gpt-3.5-turbo-0125,6,800,implementation,WA,public,GE2.1,GE3.1,"The watered-state flag is updated with the wrong semantics, making an unwatered day after watering increase height and making an initial zero fatal. The branch condition misdirects all sample cases."
137932c454,1586H,gpt-3.5-turbo-0125,18,3300,"data structures,dsu,sortings,trees",WA,public,GE2.1,GE1.2,"The query processing ignores both the capacity threshold and the query start component, precomputing only root-to-node maxima. It answers the wrong requirement for non-root queries."
9e8e30b79f,1600E,gpt-3.5-turbo-0125,13,1900,"games,greedy,two pointers",WA,public,AE2.1,AE2.1,The endpoint game is solved by a simple greedy and a remaining-index parity rule. It misses optimal play on the sample where Alice can force a win.
bc8173c180,1601D,gpt-3.5-turbo-0125,18,2700,"data structures,dp,greedy,sortings",WA,public,AE2.1,AE2.1,The priority-queue strategy greedily takes currently feasible climbers and raises difficulty immediately. That local choice does not maximize the eventual number of climbers.
7301bbb0ef,1600J,gpt-3.5-turbo-0125,7,1400,"bitmasks,dfs and similar",WA,public,GE2.1,GE3.1,"The DFS traverses in directions where the wall bit is set instead of where the side is open. Rooms are merged through walls, producing an impossible room size."
26475c1bd0,1620C,gpt-3.5-turbo-0125,11,1800,"brute force,dp,greedy,implementation,math",WA,public,AE1.1,AE1.1,The BA-string builder treats each star independently and initializes output at star positions as a. It fails to group consecutive stars and decode x in the required mixed radix.
1f3a534ee1,1606E,gpt-3.5-turbo-0125,13,2100,"combinatorics,dp,math",WA,public,AE1.1,AE1.1,The DP counts bounded sums/compositions rather than no-winner arena outcomes. It returns zero where all assignments in the sample are no-winner configurations.
cb9320f9b3,1622B,gpt-3.5-turbo-0125,9,1000,"data structures,greedy,math,sortings",WA,public,AE2.1,AE2.1,The rating assignment repeats the flawed local sorting within each vote group. It does not ensure every disliked song receives a lower new rating than every liked song.
dcee748547,1620D,gpt-3.5-turbo-0125,14,2000,"brute force,constructive algorithms,greedy",WA,public,AE2.1,AE2.1,"The coin solution uses a local formula based on differences from the minimum price instead of optimizing one shared multiset of 1, 2, and 3 coins. It fails single-flavor and mixed-residue cases."
d4cc52cf09,1586E,gpt-3.5-turbo-0125,19,2200,"constructive algorithms,dfs and similar,dsu,graph matchings,graphs,greedy,trees",WA,public,GE2.1,GE1.1,The graph solution outputs direct two-node paths without checking that the edge exists or that final edge parities are even. The sample includes invalid non-edge paths.
676533fe75,1575D,gpt-3.5-turbo-0125,14,1800,"brute force,dfs and similar,dp",WA,public,AE5.2,GE2.1,The code rejects any string starting with 0 and misses the statement's special case that the single integer 0 has no leading zero. It outputs 0 for input 0 instead of 1.
48114647fe,1594C,gpt-3.5-turbo-0125,9,1200,"brute force,greedy,math,strings",WA,public,GE1.1,GE1.2,The program outputs divisors of n without checking which multiples already contain the target character. It misunderstands how choosing x preserves positions divisible by x.
90de4c3a9b,1575L,gpt-3.5-turbo-0125,19,2100,"data structures,divide and conquer,dp,sortings",WA,public,AE5.1,AE5.1,"The solution keeps only the initially fixed positions and then sorts unique values, losing the deletion-state/order information needed to create new fixed points. That too-coarse state gives 1 instead of 2."
8c5af78403,1599G,gpt-3.5-turbo-0125,13,2700,"brute force,geometry,math,shortest paths",WA,public,AE1.1,AE1.1,The geometry solution assumes the input order forms a route and subtracts local adjacent edges. It ignores the special one-off-line-point structure needed for the shortest path.
f1dbe3f7a9,1608A,gpt-5.4-nano,13,800,"constructive algorithms,math",WA,public,"GE1.2,GE4.1",GE1.2,"The repunit construction begins with 1, so the next value is divisible by the previous value. The demonstrated public failure is a misunderstanding of the non-divisibility requirement, not overflow."
310774c8ab,1575D,gpt-5.4-nano,3,1800,"brute force,dfs and similar,dp",WA,public,GE4.1,AE1.1,"When the pattern contains no X, the counting loop still iterates over all ten possible X digits. This multiplies assignments such as _00 by ten, giving 90 instead of 9."
5601e4e9bf,1575C,gpt-5.4-nano,16,3000,"data structures,fft,number theory",WA,public,"GE1.1,GE6.2",GE1.1,The implementation is left unfinished for the general k>1 case and returns without computing the cyclic segment count. It does not implement the required algorithm.
bfa76fd97d,1613B,gpt-5.4-nano,16,1000,"greedy,implementation,sortings",WA,public,AE2.1,AE2.1,"The first failing sample appears to contain valid alternative pairs, making the evidence ambiguous. The submitted adjacent-pair greedy construction is the suspected local-choice flaw."
2e287cb064,1622A,gpt-5.4-nano,3,800,"geometry,math",WA,public,GE2.1,GE3.1,The rectangle condition only covers one stick equaling the sum of the other two. It omits cases where two existing equal sticks are paired and the third is split evenly.
3e2b9d2948,1579D,gpt-5.4-nano,12,1400,"constructive algorithms,graphs,greedy",WA,public,GE2.1,AE2.1,The claimed maximum talks uses floor(sum/2) and ignores the dominant-person limit. It can claim more talks than a feasible schedule can realize.
4554bff278,1579D,gpt-5.4-nano,13,1400,"constructive algorithms,graphs,greedy",WA,public,AE2.1,AE2.1,"The first failing schedule appears valid and maximum, so the exact mismatch is ambiguous. The chosen label reflects the submitted top-two greedy construction as the only plausible code-level mechanism."
08598eb5b1,1582F1,gpt-5.4-nano,13,1800,"bitmasks,dp,greedy",WA,public,AE5.2,AE5.1,The DP processes values in sorted order rather than original array order. This state permits increasing subsequences that do not exist and overproduces XOR values.
2349673d20,1594E2,gpt-5.4-nano,2,2300,"brute force,dp,implementation,math,trees",WA,public,GE2.1,GE1.1,The hard tree-coloring solver stops after building relevant nodes and never computes or prints the required count. The algorithm is incomplete.
