problem_id,item_id,verdict,labels,rationale
1575B,19f5f58343,CE,GE5.1,The program does not compile because of syntax/type/name errors.
1575B,588019a8f3,CE,GE5.1,The program does not compile because of syntax/type/name errors.
1575B,65abc5df3f,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,a664583974,WA,GE1.2,"The implementation is for a string-processing task, not this problem input and objective."
1575B,5561f5ad01,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,528a4d7144,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,2d9a8527fc,CE,GE5.1,The program does not compile because of syntax/type/name errors.
1575B,56ca8b6e99,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,901a9e1973,CE,GE5.1,The program does not compile because of syntax/type/name errors.
1575B,4efda270d3,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,452472f7f1,TLE,GE1.3,The approach is asymptotically too slow for the stated input limits.
1575B,f1502a7fec,WA,GE1.2,"The implementation is for a string-processing task, not this problem input and objective."
1575B,c29aa432fc,WA,GE1.2,"The implementation is for a string-processing task, not this problem input and objective."
1575B,250ef0868e,WA,GE1.2,"The implementation is for a string-processing task, not this problem input and objective."
1575B,871dbf98b7,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,29d905da26,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,d833cdcabe,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,98c11907c4,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,8272091077,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,5a418a58ac,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,4d704f76d0,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,6684797bdb,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,74ce4e905a,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,9c7ea5be07,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,4c075c905f,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,cd537de0aa,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,e517e0deda,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,51e08b0f1e,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,4fa84cccce,WA,GE1.2,"The implementation is for a string-processing task, not this problem input and objective."
1575B,c91b2ebf5c,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,9539cddb85,WA,GE4.1,Direct power/value construction can exceed the chosen numeric range.
1575B,5b8c29836f,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,2884d59546,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,b12a6b197a,TLE,GE1.3,The approach is asymptotically too slow for the stated input limits.
1575B,b0035eafb5,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,0cd0f995cb,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,97537a8395,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,66f74c0f03,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,cdc04ea26b,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,be1c7c5eba,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,a4b3096578,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,fbbb4ea58a,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,1936c32983,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,0a4fe0a1b8,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,95e1793a6d,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,93dcb9e71e,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,8e6c454991,TLE,GE1.3,The approach is asymptotically too slow for the stated input limits.
1575B,d0dff46247,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,acdca81de0,CE,GE5.1,The program does not compile because of syntax/type/name errors.
1575B,eaae41a17a,CE,GE5.1,The program does not compile because of syntax/type/name errors.
1575B,355bb907ad,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,7cbc60fd9e,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,f02efeb1f7,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,61623eb9fc,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,4c5d8314a2,WA,GE6.1,The program does not read the input stream according to the statement.
1575B,11a87d2170,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,6b4fe076bf,CE,GE5.1,The program does not compile because of syntax/type/name errors.
1575B,7f37733d67,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,110dad23de,CE,GE5.1,The program does not compile because of syntax/type/name errors.
1575B,e75719ac79,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,f8215afb65,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,e325d3ea8e,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,1ca2fb00d3,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,6e9515222b,CE,GE5.1,The program does not compile because of syntax/type/name errors.
1575B,fac28bdb9b,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,11d73f14fd,CE,GE5.1,The program does not compile because of syntax/type/name errors.
1575B,b1fd8838b4,CE,GE5.1,The program does not compile because of syntax/type/name errors.
1575B,33deba28f2,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,c6298ad7e3,CE,GE5.1,The program does not compile because of syntax/type/name errors.
1575B,9001fc6581,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,210026a0ef,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,0b2df052b6,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,ed416a8b34,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,212ca8a719,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,5d2b1a652c,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,7fddffc6b3,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,eb4c3b8e81,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,2322c9ee9b,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,d67d1cc857,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,984ee38517,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,361730e69f,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,c7cf0230ce,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,4cb2238930,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,815179e929,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,86ea8abd68,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,411c75ac10,WA,GE1.2,"Fixes the circle center at the origin, misreading ""touch the origin"" as ""centered at the origin""."
1575B,455a887468,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,6e12a2fb1b,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,356b4561e0,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,c4b435034d,TLE,GE1.3,The approach is asymptotically too slow for the stated input limits.
1575B,79e4a8a977,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,f2667c2595,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,98001faabd,CE,GE5.1,The program does not compile because of syntax/type/name errors.
1575B,7e1a8d6424,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,ba7c4d6689,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,d393271673,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,9d5ac57b4a,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,c7d3d05dbd,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,4374718e9c,CE,GE5.1,The program does not compile because of syntax/type/name errors.
1575B,700076a440,CE,GE5.1,The program does not compile because of syntax/type/name errors.
1575B,a4b01243fc,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,adad03b7db,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,ffdf722dba,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,f6f8a3dc2a,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,dcceadec83,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,26aab67ead,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,a2e295e8fc,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,c795fb7a0e,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,83a00ad507,CE,GE5.1,The program does not compile because of syntax/type/name errors.
1575B,3b999834b0,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,69b848c90d,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575B,cf143fd1c7,WA,GE1.2,The code targets a different or misread requirement than the statement requires.
1575C,696131f41d,WA,AE1.1,Uses an incorrect mathematical formula or derivation for this problem.
1575C,47602bb84a,WA,AE1.1,Uses an incorrect mathematical formula or derivation for this problem.
1575C,3517f06b00,CE,GE5.1,The program does not compile because of syntax/type/name errors.
1575C,e68410185d,WA,AE1.1,Uses an incorrect mathematical formula or derivation for this problem.
1575C,1a65490434,CE,GE5.1,The program does not compile because of syntax/type/name errors.
1575C,5ad303b461,WA,AE1.1,Uses an incorrect mathematical formula or derivation for this problem.
1575C,e95747a327,WA,GE1.2,"The implementation is for a string-processing task, not this problem input and objective."
1575C,3d2e7b85bb,WA,AE1.1,Uses an incorrect mathematical formula or derivation for this problem.
1575C,12fdf7fd7d,WA,AE1.1,Uses an incorrect mathematical formula or derivation for this problem.
1575C,b42bce44a4,WA,AE1.1,Uses an incorrect mathematical formula or derivation for this problem.
1575C,5ea4c660c2,WA,AE1.1,Uses an incorrect mathematical formula or derivation for this problem.
1575C,b89f52ccc8,WA,AE1.1,Uses an incorrect mathematical formula or derivation for this problem.
1575C,fc8bee9e7a,WA,AE1.1,Uses an incorrect mathematical formula or derivation for this problem.
1575C,1e1727d107,WA,AE1.1,Uses an incorrect mathematical formula or derivation for this problem.
1575C,63a6579284,WA,AE1.1,Uses an incorrect mathematical formula or derivation for this problem.
1575C,b67ebda3c0,WA,AE1.1,Uses an incorrect mathematical formula or derivation for this problem.
1575C,e4e1e4034c,WA,AE1.1,Counts cyclic segments with the wrong prefix-remainder formula; it does not pair equal residues correctly.
1575C,e229dd11df,WA,AE1.1,Uses an incorrect mathematical formula or derivation for this problem.
1575C,1b745786d6,WA,AE1.1,Uses an incorrect mathematical formula or derivation for this problem.
1575C,a11982081a,WA,AE1.1,Uses an incorrect mathematical formula or derivation for this problem.
1575C,914ec02420,WA,AE1.1,Uses an incorrect mathematical formula or derivation for this problem.
1575C,37e15c0371,WA,AE1.1,Uses an incorrect mathematical formula or derivation for this problem.
1575C,9228e8485c,WA,AE1.1,Uses an incorrect mathematical formula or derivation for this problem.
1575C,cc8d4c99b6,WA,AE1.1,Uses an incorrect mathematical formula or derivation for this problem.
1575C,5d4efa29b9,WA,AE1.1,Uses an incorrect mathematical formula or derivation for this problem.
1575C,9dcf937c41,WA,GE1.2,"It counts subarrays in the repeated linear array, not distinct cyclic segments under the statement's segment equivalence."
